OPIS Truckstop ID,Truckstop Name,Address,City,State,Full Address,Latitude,Longitude,Rack ID,Retail Price
72970,PAC PRIDE,"I-96, Exit 26",Grand Rapids,MI,PAC PRIDE Grand Rapids MI ,42.8980314,-85.6465951,371,3.659
72970,PAC PRIDE,"I-96, Exit 26",Grand Rapids,MI,PAC PRIDE Grand Rapids MI ,42.8980314,-85.6465951,371,3.679
68100,REFINED MARKETERS,"I-96, EXIT 31A/US-131, EXIT 88",Grand Rapids,MI,REFINED MARKETERS Grand Rapids MI ,42.506486,-85.8056838,344,3.739
60329,CHARLIES COUNTRY CORNER,"I-75, EXIT 271",Grayling,MI,CHARLIES COUNTRY CORNER Grayling MI ,44.6012946,-84.71123,287,3.899
60329,CHARLIES COUNTRY CORNER,"I-75, EXIT 271",Grayling,MI,CHARLIES COUNTRY CORNER Grayling MI ,44.6012946,-84.71123,287,3.799
72611,Kwik Trip # 1722,SR 35 & SR 553,Gwinn,MI,Kwik Trip # 1722 Gwinn MI ,46.2761949,-87.4146325,395,3.819
69362,HART MARATHON,US-31,Hart,MI,HART MARATHON Hart MI ,43.6892906,-86.3835501,456,3.499
69362,HART MARATHON,US-31,Hart,MI,HART MARATHON Hart MI ,43.6892906,-86.3835501,456,3.449
6526,TULIP CITY TRUCK STOP,"I-196 & SR-40, EXIT 49",Holland,MI,TULIP CITY TRUCK STOP Holland MI ,42.7377167,-86.0662224,344,3.739
68892,OLIVE EXXON,US-31,Holland,MI,OLIVE EXXON Holland MI ,42.8846805,-86.1204992,371,3.799
69565,PILOT #1021,"I-196, EXIT 49",Holland,MI,PILOT #1021 Holland MI ,42.7893867,-86.1089511,406,3.999
69565,PILOT #1021,"I-196, EXIT 49",Holland,MI,PILOT #1021 Holland MI ,42.7893867,-86.1089511,406,4.099
64526,PILOT TRAVEL CENTERS #53,"I-40, EXIT 143",Hurricane Mills,TN,PILOT TRAVEL CENTERS #53 Hurricane Mills TN ,35.9711736,-87.781969,460,3.17566666
70345,LOVES TRAVEL STOP #742,"I-196, EXIT 52",Holland,MI,LOVES TRAVEL STOP #742 Holland MI ,42.7827446,-86.0231765,406,4.089
70409,SPEEDWAY #6512,"I-196, EXIT 49 & SR-40",Holland,MI,SPEEDWAY #6512 Holland MI ,42.7893867,-86.1089511,456,3.899
68095,ALEXS MARKET AND GRILL,"I-75, EXIT 101",Holly,MI,ALEXS MARKET AND GRILL Holly MI ,42.8145842,-83.5732525,342,4.699
69128,BEACON & BRIDGE #34,"US-127, EXIT 194 & SR-55",Houghton Lake,MI,BEACON & BRIDGE #34 Houghton Lake MI ,44.314739,-84.7647496,260,3.399
1773,M-46 AUTO TRUCK PLAZA,"US-131, EXIT 120 & SR-46",Howard City,MI,M-46 AUTO TRUCK PLAZA Howard City MI ,43.4250498,-85.4748569,344,3.199
1773,M-46 AUTO TRUCK PLAZA,"US-131, EXIT 120 & SR-46",Howard City,MI,M-46 AUTO TRUCK PLAZA Howard City MI ,43.4250498,-85.4748569,344,3.599
1773,M-46 AUTO TRUCK PLAZA,"US-131, EXIT 120 & SR-46",Howard City,MI,M-46 AUTO TRUCK PLAZA Howard City MI ,43.4250498,-85.4748569,344,3.099
68895,J & H FAMILY STORE #103,"I-196, EXIT 62",Hudsonville,MI,J & H FAMILY STORE #103 Hudsonville MI ,42.870859,-85.8650358,344,3.399
66320,SPEEDWAY #8772,"I-69, EXIT 168 & SR-53",Imlay City,MI,SPEEDWAY #8772 Imlay City MI ,43.0072925,-83.0724831,342,3.779
62560,ONE9 #23,"I-96, EXIT 67",Ionia,MI,ONE9 #23 Ionia MI ,42.8829657,-85.0738257,406,3.499
62560,ONE9 #23,"I-96, EXIT 67",Ionia,MI,ONE9 #23 Ionia MI ,42.8829657,-85.0738257,406,3.439
72677,KWIK TRIP #1256,SR 2 E,Iron Mountain,MI,KWIK TRIP #1256 Iron Mountain MI ,45.8339555,-88.0589762,360,3.279
72677,KWIK TRIP #1256,SR 2 E,Iron Mountain,MI,KWIK TRIP #1256 Iron Mountain MI ,45.8339555,-88.0589762,360,3.399
72677,KWIK TRIP #1256,SR 2 E,Iron Mountain,MI,KWIK TRIP #1256 Iron Mountain MI ,45.8339555,-88.0589762,360,3.289
71794,KWIK TRIP #1174,US-51 & US-2,Ironwood,MI,KWIK TRIP #1174 Ironwood MI ,46.464375,-90.1674529,334,3.479
